net,length_um
net50,288.71µm
net58,172.46µm
net61,166.98µm
net36,156.42µm
net79,149.945µm
net17,146.06µm
net69,141.82µm
net6,139.75µm
net10,138.2µm
net41,135.7µm
net37,133.825µm
net56,132.22µm
net67,130.375µm
net46,129.76µm
net43,128.26µm
_295_,127.77µm
net12,124.7µm
net55,123.46µm
net77,123.25µm
net13,121.3µm
net33,119.94µm
net66,118.47µm
net48,117.45µm
net59,116.5µm
_161_,116.38µm
net52,110.04µm
_168_,109.705µm
_252_,109.42µm
net29,108.97µm
_440_,107.13µm
net51,105µm
net18,104.61µm
_174_,102.53µm
net54,93.38µm
_263_,92.895µm
_165_,91.72µm
net42,90.68µm
_157_,90.08µm
net44,89.445µm
net19,87.12µm
_160_,86.72µm
net34,84.22µm
net53,83.78µm
net63,82.26µm
net40,77.92µm
net49,77.36µm
_159_,76.28µm
_444_,75.58µm
net8,74.54µm
net35,74.48µm
_166_,73.23µm
net64,72.235µm
net62,71.77µm
net65,69.26µm
net39,68.57µm
net38,67.68µm
net14,66.64µm
net60,66.34µm
_242_,65.9µm
net20,62.84µm
net11,60.74µm
_007_,56.98µm
_400_,54.36µm
_210_,54.2µm
net3,52.2µm
_030_,51.36µm
_415_,50.12µm
_105_,48.36µm
net68,47.64µm
_305_,46.84µm
_090_,46.2µm
_086_,46.16µm
_403_,43.93µm
_188_,43.76µm
_314_,43.4µm
_151_,42.64µm
_033_,42.52µm
_409_,41.26µm
_104_,40.58µm
_271_,40.46µm
net47,39.26µm
_423_,37.99µm
_019_,37.74µm
_180_,37.48µm
_443_,36.64µm
net45,36.635µm
net30,36.48µm
_014_,35.7µm
net57,35.48µm
_076_,35.11µm
net2,34.92µm
net1,34.82µm
_243_,34.38µm
_241_,34.26µm
_357_,34.26µm
_066_,34.14µm
_212_,33.92µm
net9,32.46µm
_408_,31.42µm
_433_,31.26µm
_306_,31.22µm
_150_,30.58µm
_407_,30.52µm
net15,30.4µm
_211_,29.66µm
_453_,29.28µm
_099_,29.27µm
_069_,29.16µm
_004_,28.88µm
_366_,28.2µm
_171_,28.19µm
_292_,26.6µm
_328_,26.42µm
_422_,26.36µm
_018_,25.62µm
_382_,25.6µm
net70,24.9µm
net26,24.72µm
_036_,24.56µm
_386_,24.3µm
_412_,24µm
_085_,23.86µm
_158_,23.48µm
_320_,23.28µm
net7,23.12µm
_392_,23.02µm
_120_,22.99µm
_417_,22.77µm
_203_,22.68µm
_053_,22.575µm
_044_,22µm
_360_,21.8µm
_088_,21.56µm
_152_,21.24µm
_266_,21.24µm
inst[3],21.12µm
_012_,21.08µm
_003_,20.88µm
_317_,20.72µm
_190_,20.7µm
net75,20.62µm
_125_,20.44µm
_425_,20.18µm
_187_,19.88µm
_098_,19.815µm
_075_,19.68µm
_124_,19.635µm
_043_,19.51µm
inst[2],19.5µm
_055_,19.36µm
_206_,19.16µm
_301_,18.94µm
_352_,18.685µm
_039_,18.58µm
_082_,18.5µm
_008_,18.46µm
_395_,18.36µm
_095_,18.295µm
_051_,18.26µm
_338_,18.16µm
_181_,18.14µm
_031_,18µm
_064_,17.94µm
_446_,17.74µm
_329_,17.68µm
_052_,17.14µm
op_out[1],17.04µm
_002_,16.88µm
_078_,16.84µm
_035_,16.72µm
_147_,16.68µm
_219_,16.5µm
_344_,16.46µm
_454_,16.26µm
_013_,16.24µm
_418_,16.22µm
_428_,16.18µm
net25,16.1µm
_081_,15.84µm
_457_,15.84µm
_145_,15.815µm
_072_,15.76µm
_042_,15.7µm
_017_,15.62µm
_079_,15.58µm
_354_,15.48µm
_297_,15.34µm
_037_,15.16µm
_284_,14.98µm
_038_,14.945µm
_381_,14.94µm
_170_,14.92µm
_355_,14.74µm
_337_,14.66µm
_310_,14.59µm
_275_,14.52µm
op_out[5],14.46µm
_021_,14.44µm
_097_,14.42µm
_110_,14.42µm
_272_,14.4µm
_436_,14.38µm
_074_,14.26µm
_083_,14.2µm
_256_,14.065µm
_258_,14.065µm
_257_,14.06µm
_229_,13.96µm
_448_,13.94µm
_429_,13.86µm
_249_,13.8µm
_312_,13.78µm
_101_,13.64µm
op_out[0],13.64µm
_286_,13.46µm
_288_,13.1µm
_456_,13.08µm
_217_,13.04µm
_041_,12.96µm
_371_,12.875µm
_234_,12.82µm
_426_,12.76µm
_394_,12.74µm
_410_,12.74µm
_399_,12.72µm
inst[0],12.72µm
_182_,12.68µm
_091_,12.6µm
net4,12.58µm
_374_,12.56µm
_148_,12.54µm
_113_,12.48µm
_046_,12.44µm
_413_,12.44µm
_054_,12.36µm
_349_,12.36µm
_455_,12.36µm
_127_,12.335µm
_156_,12.28µm
_199_,12.26µm
_118_,12.22µm
_222_,12.16µm
_139_,12.14µm
_128_,12.04µm
_000_,12µm
_015_,11.94µm
_020_,11.86µm
_119_,11.82µm
_230_,11.8µm
_232_,11.8µm
_298_,11.72µm
_373_,11.7µm
_280_,11.66µm
_176_,11.64µm
_452_,11.6µm
_282_,11.58µm
_108_,11.46µm
_225_,11.34µm
_080_,11.32µm
_142_,11.28µm
op_out[3],11.24µm
_248_,11.22µm
_438_,11.18µm
op_a[7],11.12µm
op_out[4],11.12µm
_279_,11.04µm
_325_,10.96µm
_089_,10.9µm
_045_,10.86µm
_332_,10.78µm
_228_,10.74µm
_192_,10.72µm
net87,10.66µm
_050_,10.64µm
_130_,10.61µm
_441_,10.54µm
_398_,10.4µm
_056_,10.34µm
_289_,10.34µm
_155_,10.32µm
_073_,10.28µm
_220_,10.24µm
_435_,10.24µm
_109_,10.16µm
_093_,10.12µm
net76,10.1µm
_163_,10.08µm
_216_,10.08µm
inst[1],10.08µm
op_a[6],10.08µm
op_b[7],10.08µm
net72,10µm
_116_,9.98µm
op_out[2],9.86µm
_321_,9.82µm
_063_,9.78µm
_350_,9.74µm
