Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_37_220,VGND,li1,107.6400,114.2400,0.000033
FILLER_37_208,VGND,li1,103.9600,114.2400,0.000033
FILLER_37_197,VGND,li1,97.9800,114.2400,0.000033
FILLER_37_184,VGND,li1,92.9200,114.2400,0.000033
FILLER_37_172,VGND,li1,87.4000,114.2400,0.000033
FILLER_37_167,VGND,li1,82.5700,114.2400,0.000032
FILLER_37_155,VGND,li1,77.2800,114.2400,0.000032
FILLER_37_139,VGND,li1,69.6900,114.2400,0.000030
FILLER_37_135,VGND,li1,68.5400,114.2400,0.000030
FILLER_37_125,VGND,li1,63.2500,114.2400,0.000029
FILLER_37_113,VGND,li1,57.9600,114.2400,0.000027
FILLER_37_111,VGND,li1,56.8100,114.2400,0.000026
FILLER_37_105,VGND,li1,54.5100,114.2400,0.000025
FILLER_37_81,VGND,li1,43.4700,114.2400,0.000020
FILLER_37_69,VGND,li1,40.0200,114.2400,0.000017
FILLER_37_57,VGND,li1,34.5000,114.2400,0.000014
FILLER_37_53,VGND,li1,30.5900,114.2400,0.000011
FILLER_37_41,VGND,li1,27.1400,114.2400,0.000009
FILLER_37_29,VGND,li1,21.6200,114.2400,0.000008
FILLER_37_25,VGND,li1,17.7100,114.2400,0.000009
FILLER_37_3,VGND,li1,7.1300,114.2400,0.000009
FILLER_36_218,VGND,li1,107.1800,108.8000,0.000051
FILLER_36_194,VGND,li1,95.2200,108.8000,0.000050
FILLER_36_177,VGND,li1,87.1700,108.8000,0.000049
FILLER_36_173,VGND,li1,86.0200,108.8000,0.000048
FILLER_36_141,VGND,li1,71.7600,108.8000,0.000044
FILLER_36_138,VGND,li1,69.4600,108.8000,0.000042
FILLER_36_131,VGND,li1,66.2400,108.8000,0.000041
FILLER_36_116,VGND,li1,59.1100,108.8000,0.000038
FILLER_36_112,VGND,li1,57.9600,108.8000,0.000037
FILLER_36_100,VGND,li1,54.2800,108.8000,0.000035
FILLER_36_91,VGND,li1,47.6100,108.8000,0.000030
FILLER_36_85,VGND,li1,46.0000,108.8000,0.000030
FILLER_36_83,VGND,li1,43.9300,108.8000,0.000028
FILLER_36_75,VGND,li1,41.8600,108.8000,0.000027
FILLER_36_66,VGND,li1,36.3400,108.8000,0.000022
FILLER_36_58,VGND,li1,34.0400,108.8000,0.000020
FILLER_36_50,VGND,li1,28.9800,108.8000,0.000015
FILLER_36_3,VGND,li1,7.3600,108.8000,0.000016
FILLER_35_223,VGND,li1,108.3300,108.8000,0.000051
FILLER_35_217,VGND,li1,106.7200,108.8000,0.000051
FILLER_35_213,VGND,li1,103.7300,108.8000,0.000051
FILLER_35_209,VGND,li1,102.5800,108.8000,0.000051
FILLER_35_203,VGND,li1,99.3600,108.8000,0.000051
FILLER_35_191,VGND,li1,96.1400,108.8000,0.000050
FILLER_35_173,VGND,li1,85.3300,108.8000,0.000048
FILLER_35_169,VGND,li1,84.1800,108.8000,0.000048
FILLER_35_167,VGND,li1,82.5700,108.8000,0.000048
FILLER_35_163,VGND,li1,81.4200,108.8000,0.000047
FILLER_35_142,VGND,li1,72.6800,108.8000,0.000044
FILLER_35_122,VGND,li1,62.1000,108.8000,0.000039
FILLER_35_111,VGND,li1,56.8100,108.8000,0.000037
FILLER_35_107,VGND,li1,55.6600,108.8000,0.000035
FILLER_35_89,VGND,li1,46.9200,108.8000,0.000030
FILLER_35_69,VGND,li1,38.1800,108.8000,0.000024
FILLER_35_57,VGND,li1,34.5000,108.8000,0.000020
FILLER_35_53,VGND,li1,30.5900,108.8000,0.000017
FILLER_35_47,VGND,li1,27.3700,108.8000,0.000015
FILLER_35_39,VGND,li1,23.9200,108.8000,0.000013
FILLER_35_27,VGND,li1,20.7000,108.8000,0.000014
FILLER_35_7,VGND,li1,8.9700,108.8000,0.000016
FILLER_35_3,VGND,li1,7.8200,108.8000,0.000016
FILLER_34_216,VGND,li1,106.7200,103.3600,0.000032
FILLER_34_197,VGND,li1,97.9800,103.3600,0.000031
FILLER_34_192,VGND,li1,94.7600,103.3600,0.000031
FILLER_34_180,VGND,li1,91.0800,103.3600,0.000031
FILLER_34_170,VGND,li1,84.4100,103.3600,0.000030
FILLER_34_158,VGND,li1,80.9600,103.3600,0.000030
FILLER_34_136,VGND,li1,69.0000,103.3600,0.000028
FILLER_34_113,VGND,li1,58.4200,103.3600,0.000025
FILLER_34_101,VGND,li1,54.7400,103.3600,0.000024
FILLER_34_91,VGND,li1,47.6100,103.3600,0.000021
FILLER_34_85,VGND,li1,46.0000,103.3600,0.000021
FILLER_34_83,VGND,li1,43.9300,103.3600,0.000020
FILLER_34_79,VGND,li1,42.7800,103.3600,0.000019
FILLER_34_61,VGND,li1,33.8100,103.3600,0.000016
FILLER_34_57,VGND,li1,32.6600,103.3600,0.000015
FILLER_34_45,VGND,li1,28.9800,103.3600,0.000014
FILLER_34_26,VGND,li1,17.9400,103.3600,0.000014
FILLER_34_12,VGND,li1,11.5000,103.3600,0.000016
FILLER_33_223,VGND,li1,108.3300,103.3600,0.000032
FILLER_33_219,VGND,li1,107.1800,103.3600,0.000032
FILLER_33_207,VGND,li1,103.5000,103.3600,0.000032
FILLER_33_196,VGND,li1,97.5200,103.3600,0.000031
FILLER_33_192,VGND,li1,94.0700,103.3600,0.000031
FILLER_33_188,VGND,li1,92.9200,103.3600,0.000031
FILLER_33_176,VGND,li1,89.2400,103.3600,0.000031
FILLER_33_160,VGND,li1,80.9600,103.3600,0.000030
FILLER_33_125,VGND,li1,64.4000,103.3600,0.000027
FILLER_33_113,VGND,li1,57.9600,103.3600,0.000025
FILLER_33_100,VGND,li1,54.2800,103.3600,0.000024
FILLER_33_88,VGND,li1,48.7600,103.3600,0.000022
FILLER_33_76,VGND,li1,43.2400,103.3600,0.000020
FILLER_33_48,VGND,li1,29.4400,103.3600,0.000014
FILLER_33_36,VGND,li1,24.8400,103.3600,0.000011
FILLER_33_26,VGND,li1,17.9400,103.3600,0.000014
FILLER_32_219,VGND,li1,106.7200,97.9200,0.000034
FILLER_32_207,VGND,li1,103.5000,97.9200,0.000034
FILLER_32_194,VGND,li1,95.2200,97.9200,0.000033
FILLER_32_177,VGND,li1,87.6300,97.9200,0.000032
FILLER_32_168,VGND,li1,83.0300,97.9200,0.000031
FILLER_32_160,VGND,li1,79.3500,97.9200,0.000030
FILLER_32_154,VGND,li1,77.7400,97.9200,0.000029
FILLER_32_147,VGND,li1,73.3700,97.9200,0.000028
FILLER_32_141,VGND,li1,71.7600,97.9200,0.000027
FILLER_32_137,VGND,li1,69.2300,97.9200,0.000027
FILLER_32_129,VGND,li1,66.7000,97.9200,0.000025
FILLER_32_117,VGND,li1,62.1000,97.9200,0.000024
FILLER_32_105,VGND,li1,56.5800,97.9200,0.000022
FILLER_32_97,VGND,li1,50.8300,97.9200,0.000020
FILLER_32_85,VGND,li1,47.3800,97.9200,0.000019
FILLER_32_78,VGND,li1,42.7800,97.9200,0.000017
FILLER_32_66,VGND,li1,36.5700,97.9200,0.000014
FILLER_32_54,VGND,li1,31.7400,97.9200,0.000012
FILLER_32_48,VGND,li1,27.8300,97.9200,0.000010
FILLER_32_36,VGND,li1,24.8400,97.9200,0.000008
FILLER_32_22,VGND,li1,17.0200,97.9200,0.000010
FILLER_31_220,VGND,li1,106.9500,97.9200,0.000034
FILLER_31_210,VGND,li1,102.5800,97.9200,0.000034
FILLER_31_192,VGND,li1,94.5300,97.9200,0.000033
FILLER_31_184,VGND,li1,92.0000,97.9200,0.000033
FILLER_31_177,VGND,li1,87.1700,97.9200,0.000032
FILLER_31_169,VGND,li1,85.1000,97.9200,0.000031
FILLER_31_167,VGND,li1,82.5700,97.9200,0.000030
FILLER_31_161,VGND,li1,80.9600,97.9200,0.000030
FILLER_31_149,VGND,li1,76.8200,97.9200,0.000029
FILLER_31_137,VGND,li1,71.3000,97.9200,0.000027
FILLER_31_125,VGND,li1,65.7800,97.9200,0.000025
FILLER_31_113,VGND,li1,60.2600,97.9200,0.000024
FILLER_31_98,VGND,li1,50.8300,97.9200,0.000020
FILLER_31_81,VGND,li1,44.6200,97.9200,0.000018
FILLER_31_69,VGND,li1,40.0200,97.9200,0.000016
FILLER_31_57,VGND,li1,34.5000,97.9200,0.000013
FILLER_31_44,VGND,li1,28.5200,97.9200,0.000010
FILLER_31_32,VGND,li1,23.0000,97.9200,0.000008
FILLER_31_15,VGND,li1,14.2600,97.9200,0.000010
FILLER_31_3,VGND,li1,9.6600,97.9200,0.000010
FILLER_30_223,VGND,li1,108.3300,92.4800,0.000050
FILLER_30_205,VGND,li1,100.5100,92.4800,0.000049
FILLER_30_197,VGND,li1,97.9800,92.4800,0.000049
FILLER_30_190,VGND,li1,94.3000,92.4800,0.000048
FILLER_30_176,VGND,li1,87.1700,92.4800,0.000046
FILLER_30_168,VGND,li1,84.6400,92.4800,0.000045
FILLER_30_149,VGND,li1,74.2900,92.4800,0.000043
FILLER_30_141,VGND,li1,72.2200,92.4800,0.000042
FILLER_30_138,VGND,li1,69.4600,92.4800,0.000041
FILLER_30_132,VGND,li1,66.4700,92.4800,0.000040
FILLER_30_109,VGND,li1,56.3500,92.4800,0.000035
FILLER_30_90,VGND,li1,47.3800,92.4800,0.000030
FILLER_30_80,VGND,li1,42.5500,92.4800,0.000027
FILLER_30_76,VGND,li1,41.4000,92.4800,0.000027
FILLER_30_67,VGND,li1,37.0300,92.4800,0.000023
FILLER_30_50,VGND,li1,28.7500,92.4800,0.000017
FILLER_30_41,VGND,li1,24.6100,92.4800,0.000013
FILLER_30_29,VGND,li1,21.6200,92.4800,0.000014
FILLER_30_26,VGND,li1,17.9400,92.4800,0.000016
FILLER_30_9,VGND,li1,10.3500,92.4800,0.000018
FILLER_29_222,VGND,li1,108.1000,92.4800,0.000050
FILLER_29_212,VGND,li1,103.5000,92.4800,0.000050
FILLER_29_200,VGND,li1,100.2800,92.4800,0.000049
FILLER_29_188,VGND,li1,94.7600,92.4800,0.000048
FILLER_29_177,VGND,li1,87.6300,92.4800,0.000046
FILLER_29_167,VGND,li1,82.5700,92.4800,0.000045
FILLER_29_158,VGND,li1,79.1200,92.4800,0.000044
FILLER_29_149,VGND,li1,74.2900,92.4800,0.000043
FILLER_29_141,VGND,li1,72.2200,92.4800,0.000042
FILLER_29_128,VGND,li1,64.6300,92.4800,0.000039
FILLER_29_113,VGND,li1,60.2600,92.4800,0.000037
FILLER_29_111,VGND,li1,56.8100,92.4800,0.000036
FILLER_29_99,VGND,li1,53.8200,92.4800,0.000034
FILLER_29_87,VGND,li1,48.3000,92.4800,0.000031
FILLER_29_75,VGND,li1,42.7800,92.4800,0.000027
FILLER_29_67,VGND,li1,37.0300,92.4800,0.000023
FILLER_29_55,VGND,li1,31.0500,92.4800,0.000019
FILLER_29_45,VGND,li1,26.6800,92.4800,0.000015
FILLER_29_37,VGND,li1,24.3800,92.4800,0.000013
FILLER_29_25,VGND,li1,19.7800,92.4800,0.000015
FILLER_29_21,VGND,li1,15.4100,92.4800,0.000017
FILLER_29_3,VGND,li1,7.5900,92.4800,0.000018
FILLER_28_218,VGND,li1,107.1800,87.0400,0.000021
FILLER_28_206,VGND,li1,103.0400,87.0400,0.000021
FILLER_28_184,VGND,li1,92.9200,87.0400,0.000020
FILLER_28_165,VGND,li1,84.1800,87.0400,0.000019
FILLER_28_153,VGND,li1,78.6600,87.0400,0.000019
FILLER_28_141,VGND,li1,73.1400,87.0400,0.000018
FILLER_28_139,VGND,li1,69.6900,87.0400,0.000018
FILLER_28_131,VGND,li1,67.6200,87.0400,0.000018
FILLER_28_115,VGND,li1,59.8000,87.0400,0.000016
FILLER_28_103,VGND,li1,55.6600,87.0400,0.000016
FILLER_28_93,VGND,li1,48.7600,87.0400,0.000014
FILLER_28_85,VGND,li1,46.4600,87.0400,0.000014
FILLER_28_81,VGND,li1,43.4700,87.0400,0.000013
FILLER_28_66,VGND,li1,37.7200,87.0400,0.000012
FILLER_28_54,VGND,li1,33.1200,87.0400,0.000010
FILLER_28_37,VGND,li1,23.0000,87.0400,0.000008
FILLER_28_29,VGND,li1,20.7000,87.0400,0.000009
FILLER_28_25,VGND,li1,17.7100,87.0400,0.000009
FILLER_28_15,VGND,li1,13.3400,87.0400,0.000010
FILLER_28_3,VGND,li1,9.6600,87.0400,0.000010
FILLER_27_223,VGND,li1,108.3300,87.0400,0.000021
FILLER_27_217,VGND,li1,106.7200,87.0400,0.000021
FILLER_27_209,VGND,li1,102.5800,87.0400,0.000021
FILLER_27_205,VGND,li1,100.0500,87.0400,0.000021
FILLER_27_193,VGND,li1,97.0600,87.0400,0.000021
FILLER_27_181,VGND,li1,91.5400,87.0400,0.000020
FILLER_27_169,VGND,li1,85.1000,87.0400,0.000019
FILLER_27_167,VGND,li1,82.5700,87.0400,0.000019
FILLER_27_163,VGND,li1,81.4200,87.0400,0.000019
FILLER_27_151,VGND,li1,77.7400,87.0400,0.000019
FILLER_27_137,VGND,li1,69.0000,87.0400,0.000018
FILLER_27_125,VGND,li1,65.7800,87.0400,0.000017
FILLER_27_113,VGND,li1,60.2600,87.0400,0.000016
FILLER_27_109,VGND,li1,56.3500,87.0400,0.000016
FILLER_27_101,VGND,li1,53.8200,87.0400,0.000015
FILLER_27_89,VGND,li1,49.2200,87.0400,0.000014
FILLER_27_77,VGND,li1,42.3200,87.0400,0.000012
FILLER_27_65,VGND,li1,38.1800,87.0400,0.000012
FILLER_27_51,VGND,li1,29.4400,87.0400,0.000009
FILLER_27_37,VGND,li1,22.7700,87.0400,0.000008
FILLER_27_29,VGND,li1,20.7000,87.0400,0.000009
FILLER_27_3,VGND,li1,9.6600,87.0400,0.000010
FILLER_26_220,VGND,li1,107.6400,81.6000,0.000056
FILLER_26_209,VGND,li1,101.8900,81.6000,0.000055
FILLER_26_205,VGND,li1,100.7400,81.6000,0.000055
FILLER_26_189,VGND,li1,92.9200,81.6000,0.000053
FILLER_26_159,VGND,li1,81.4200,81.6000,0.000049
FILLER_26_141,VGND,li1,70.8400,81.6000,0.000044
FILLER_26_139,VGND,li1,69.6900,81.6000,0.000044
FILLER_26_127,VGND,li1,66.7000,81.6000,0.000043
FILLER_26_108,VGND,li1,55.8900,81.6000,0.000037
FILLER_26_96,VGND,li1,52.4400,81.6000,0.000035
FILLER_26_85,VGND,li1,45.5400,81.6000,0.000032
FILLER_26_82,VGND,li1,43.7000,81.6000,0.000030
FILLER_26_74,VGND,li1,41.4000,81.6000,0.000029
