Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_37_220,VPWR,li1,107.6400,111.5200,1.799933
FILLER_37_208,VPWR,li1,103.9600,111.5200,1.799933
FILLER_37_197,VPWR,li1,97.9800,111.5200,1.799933
FILLER_37_184,VPWR,li1,92.9200,111.5200,1.799934
FILLER_37_172,VPWR,li1,87.4000,111.5200,1.799935
FILLER_37_167,VPWR,li1,82.5700,111.5200,1.799936
FILLER_37_155,VPWR,li1,77.2800,111.5200,1.799938
FILLER_37_139,VPWR,li1,69.6900,111.5200,1.799941
FILLER_37_135,VPWR,li1,68.5400,111.5200,1.799942
FILLER_37_125,VPWR,li1,63.2500,111.5200,1.799945
FILLER_37_113,VPWR,li1,57.9600,111.5200,1.799948
FILLER_37_111,VPWR,li1,56.8100,111.5200,1.799950
FILLER_37_105,VPWR,li1,54.5100,111.5200,1.799952
FILLER_37_81,VPWR,li1,43.4700,111.5200,1.799962
FILLER_37_69,VPWR,li1,40.0200,111.5200,1.799966
FILLER_37_57,VPWR,li1,34.5000,111.5200,1.799971
FILLER_37_53,VPWR,li1,30.5900,111.5200,1.799976
FILLER_37_41,VPWR,li1,27.1400,111.5200,1.799978
FILLER_37_29,VPWR,li1,21.6200,111.5200,1.799985
FILLER_37_25,VPWR,li1,17.7100,111.5200,1.799984
FILLER_37_3,VPWR,li1,7.1300,111.5200,1.799983
FILLER_36_218,VPWR,li1,107.1800,111.5200,1.799933
FILLER_36_194,VPWR,li1,95.2200,111.5200,1.799934
FILLER_36_177,VPWR,li1,87.1700,111.5200,1.799935
FILLER_36_173,VPWR,li1,86.0200,111.5200,1.799935
FILLER_36_141,VPWR,li1,71.7600,111.5200,1.799940
FILLER_36_138,VPWR,li1,69.4600,111.5200,1.799941
FILLER_36_131,VPWR,li1,66.2400,111.5200,1.799943
FILLER_36_116,VPWR,li1,59.1100,111.5200,1.799948
FILLER_36_112,VPWR,li1,57.9600,111.5200,1.799948
FILLER_36_100,VPWR,li1,54.2800,111.5200,1.799952
FILLER_36_91,VPWR,li1,47.6100,111.5200,1.799958
FILLER_36_85,VPWR,li1,46.0000,111.5200,1.799958
FILLER_36_83,VPWR,li1,43.9300,111.5200,1.799960
FILLER_36_75,VPWR,li1,41.8600,111.5200,1.799962
FILLER_36_66,VPWR,li1,36.3400,111.5200,1.799968
FILLER_36_58,VPWR,li1,34.0400,111.5200,1.799971
FILLER_36_50,VPWR,li1,28.9800,111.5200,1.799976
FILLER_36_3,VPWR,li1,7.3600,111.5200,1.799983
FILLER_35_223,VPWR,li1,108.3300,106.0800,1.799955
FILLER_35_217,VPWR,li1,106.7200,106.0800,1.799955
FILLER_35_213,VPWR,li1,103.7300,106.0800,1.799955
FILLER_35_209,VPWR,li1,102.5800,106.0800,1.799955
FILLER_35_203,VPWR,li1,99.3600,106.0800,1.799956
FILLER_35_191,VPWR,li1,96.1400,106.0800,1.799956
FILLER_35_173,VPWR,li1,85.3300,106.0800,1.799957
FILLER_35_169,VPWR,li1,84.1800,106.0800,1.799957
FILLER_35_167,VPWR,li1,82.5700,106.0800,1.799958
FILLER_35_163,VPWR,li1,81.4200,106.0800,1.799958
FILLER_35_142,VPWR,li1,72.6800,106.0800,1.799959
FILLER_35_122,VPWR,li1,62.1000,106.0800,1.799962
FILLER_35_111,VPWR,li1,56.8100,106.0800,1.799964
FILLER_35_107,VPWR,li1,55.6600,106.0800,1.799965
FILLER_35_89,VPWR,li1,46.9200,106.0800,1.799969
FILLER_35_69,VPWR,li1,38.1800,106.0800,1.799974
FILLER_35_57,VPWR,li1,34.5000,106.0800,1.799977
FILLER_35_53,VPWR,li1,30.5900,106.0800,1.799980
FILLER_35_47,VPWR,li1,27.3700,106.0800,1.799983
FILLER_35_39,VPWR,li1,23.9200,106.0800,1.799985
FILLER_35_27,VPWR,li1,20.7000,106.0800,1.799988
FILLER_35_7,VPWR,li1,8.9700,106.0800,1.799986
FILLER_35_3,VPWR,li1,7.8200,106.0800,1.799986
FILLER_34_216,VPWR,li1,106.7200,106.0800,1.799955
FILLER_34_197,VPWR,li1,97.9800,106.0800,1.799956
FILLER_34_192,VPWR,li1,94.7600,106.0800,1.799956
FILLER_34_180,VPWR,li1,91.0800,106.0800,1.799956
FILLER_34_170,VPWR,li1,84.4100,106.0800,1.799957
FILLER_34_158,VPWR,li1,80.9600,106.0800,1.799958
FILLER_34_136,VPWR,li1,69.0000,106.0800,1.799960
FILLER_34_113,VPWR,li1,58.4200,106.0800,1.799964
FILLER_34_101,VPWR,li1,54.7400,106.0800,1.799965
FILLER_34_91,VPWR,li1,47.6100,106.0800,1.799969
FILLER_34_85,VPWR,li1,46.0000,106.0800,1.799970
FILLER_34_83,VPWR,li1,43.9300,106.0800,1.799971
FILLER_34_79,VPWR,li1,42.7800,106.0800,1.799971
FILLER_34_61,VPWR,li1,33.8100,106.0800,1.799978
FILLER_34_57,VPWR,li1,32.6600,106.0800,1.799978
FILLER_34_45,VPWR,li1,28.9800,106.0800,1.799981
FILLER_34_26,VPWR,li1,17.9400,106.0800,1.799987
FILLER_34_12,VPWR,li1,11.5000,106.0800,1.799986
FILLER_33_223,VPWR,li1,108.3300,100.6400,1.799967
FILLER_33_219,VPWR,li1,107.1800,100.6400,1.799967
FILLER_33_207,VPWR,li1,103.5000,100.6400,1.799967
FILLER_33_196,VPWR,li1,97.5200,100.6400,1.799967
FILLER_33_192,VPWR,li1,94.0700,100.6400,1.799968
FILLER_33_188,VPWR,li1,92.9200,100.6400,1.799968
FILLER_33_176,VPWR,li1,89.2400,100.6400,1.799968
FILLER_33_160,VPWR,li1,80.9600,100.6400,1.799969
FILLER_33_125,VPWR,li1,64.4000,100.6400,1.799973
FILLER_33_113,VPWR,li1,57.9600,100.6400,1.799975
FILLER_33_100,VPWR,li1,54.2800,100.6400,1.799977
FILLER_33_88,VPWR,li1,48.7600,100.6400,1.799978
FILLER_33_76,VPWR,li1,43.2400,100.6400,1.799980
FILLER_33_48,VPWR,li1,29.4400,100.6400,1.799986
FILLER_33_36,VPWR,li1,24.8400,100.6400,1.799988
FILLER_33_26,VPWR,li1,17.9400,100.6400,1.799989
FILLER_32_219,VPWR,li1,106.7200,100.6400,1.799967
FILLER_32_207,VPWR,li1,103.5000,100.6400,1.799967
FILLER_32_194,VPWR,li1,95.2200,100.6400,1.799968
FILLER_32_177,VPWR,li1,87.6300,100.6400,1.799968
FILLER_32_168,VPWR,li1,83.0300,100.6400,1.799969
FILLER_32_160,VPWR,li1,79.3500,100.6400,1.799970
FILLER_32_154,VPWR,li1,77.7400,100.6400,1.799970
FILLER_32_147,VPWR,li1,73.3700,100.6400,1.799971
FILLER_32_141,VPWR,li1,71.7600,100.6400,1.799971
FILLER_32_137,VPWR,li1,69.2300,100.6400,1.799972
FILLER_32_129,VPWR,li1,66.7000,100.6400,1.799973
FILLER_32_117,VPWR,li1,62.1000,100.6400,1.799974
FILLER_32_105,VPWR,li1,56.5800,100.6400,1.799975
FILLER_32_97,VPWR,li1,50.8300,100.6400,1.799977
FILLER_32_85,VPWR,li1,47.3800,100.6400,1.799978
FILLER_32_78,VPWR,li1,42.7800,100.6400,1.799980
FILLER_32_66,VPWR,li1,36.5700,100.6400,1.799982
FILLER_32_54,VPWR,li1,31.7400,100.6400,1.799984
FILLER_32_48,VPWR,li1,27.8300,100.6400,1.799986
FILLER_32_36,VPWR,li1,24.8400,100.6400,1.799988
FILLER_32_22,VPWR,li1,17.0200,100.6400,1.799989
FILLER_31_220,VPWR,li1,106.9500,95.2000,1.799935
FILLER_31_210,VPWR,li1,102.5800,95.2000,1.799936
FILLER_31_192,VPWR,li1,94.5300,95.2000,1.799939
FILLER_31_184,VPWR,li1,92.0000,95.2000,1.799940
FILLER_31_177,VPWR,li1,87.1700,95.2000,1.799941
FILLER_31_169,VPWR,li1,85.1000,95.2000,1.799942
FILLER_31_167,VPWR,li1,82.5700,95.2000,1.799943
FILLER_31_161,VPWR,li1,80.9600,95.2000,1.799944
FILLER_31_149,VPWR,li1,76.8200,95.2000,1.799946
FILLER_31_137,VPWR,li1,71.3000,95.2000,1.799948
FILLER_31_125,VPWR,li1,65.7800,95.2000,1.799951
FILLER_31_113,VPWR,li1,60.2600,95.2000,1.799953
FILLER_31_98,VPWR,li1,50.8300,95.2000,1.799960
FILLER_31_81,VPWR,li1,44.6200,95.2000,1.799964
FILLER_31_69,VPWR,li1,40.0200,95.2000,1.799968
